ticket_id,client_name,client_sector,ticket_subject,ticket_description,module,component,urgency_signals,previous_classification,correct_ticket_type,correct_priority,correct_target_team,preferred_resolver
SIS-2026-0001,EuroPackaging PT,packaging,Pedido de configuração na integração,"O fluxo atual funciona para os restantes clientes, por isso parece claramente tema de parametrização e não bug geral. Já reiniciaram sessão, browser e posto, sem conclusão clara. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",integrations,edi,afeta vários utilizadores,feature_request / low / account_management,configuration_request,high,technical_support,Marta Silva
SIS-2026-0002,MetalLabel,industrial manufacturing,Timeout na integração com loja online,"As chamadas para a API externa estão a falhar por timeout e as encomendas deixam de entrar automaticamente. Ainda estamos a confirmar se acontece em todas as empresas do grupo ou só nesta. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",integrations,api,afeta uma equipa; pode esperar,infrastructure_problem / high / infrastructure,infrastructure_problem,medium,infrastructure,
SIS-2026-0003,NorteCartao,packaging,Relatórios grandes dão timeout,"Não é um incidente total do ERP, mas para certas equipas já travou trabalho relevante. Há referência a outro ticket antigo, mas sem número. O cliente pediu retorno curto mesmo que ainda não haja solução final. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",reporting,custom_reports,convém validar com alguma brevidade,software_bug / high / development,infrastructure_problem,medium,infrastructure,
SIS-2026-0004,EtiquetaFina,labels,Servidor de relatórios falha ao abrir mapas pesados,"Não é um incidente total do ERP, mas para certas equipas já travou trabalho relevante. A descrição veio por telefone e foi resumida internamente. Há alguma sensibilidade comercial, mas sem dramatização no pedido. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",reporting,custom_reports,precisamos ainda hoje,infrastructure_problem / high / infrastructure,infrastructure_problem,high,infrastructure,
SIS-2026-0005,NorteCartao,packaging,Transferência lançou linhas repetidas,"Depois de uma integração/importação noturna apareceram movimentos em duplicado e o saldo disponível ficou acima do físico. Ainda não anexaram prints, mas podem enviar. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. O impacto reportado é imediato e o cliente diz que o processo principal ficou parado.",stock,stock_movements,sem faturar,software_bug / high / development,data_issue,critical,technical_support,
SIS-2026-0006,LusoPack Embalagens,packaging,Training request for opportunity follow-up,"Não há avaria; a ideia é consolidar processo antes de aumentar utilizadores. A equipa insiste que o problema é novo, mas não quantifica bem quando começou. O texto original mistura português com inglês e foi limpo apenas o mínimo para ficar legível. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",CRM,opportunities,convém validar com alguma brevidade; sem bloqueio operacional,,training_needed,medium,training_consulting,
SIS-2026-0007,FlexoPrime,printing,Utilizador não encontra campo no CRM,"Não há indício claro de erro técnico; parece mais navegação ou diferença de permissões entre perfis. Ainda estamos a confirmar se acontece em todas as empresas do grupo ou só nesta. O cliente pediu retorno curto mesmo que ainda não haja solução final. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",CRM,customer_cards,convém validar com alguma brevidade,,client_misunderstanding,medium,support_level_1,
SIS-2026-0008,AlfaForms,forms and labels,Ambiente muito lento desde esta manhã,"Não temos um erro único; é degradação geral percebida por equipas diferentes. O pedido entrou com pouco contexto e alguma pressa. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",general,performance,fecho do mês; impacto moderado,software_bug / high / development,infrastructure_problem,high,infrastructure,
SIS-2026-0009,AlfaForms,forms and labels,Cliente acha que o botão desapareceu,"Talvez valha confirmar se precisam de mini-guia em vez de intervenção técnica. A descrição veio por telefone e foi resumida internamente. Se possível, manter com Ana Martins porque já conhece o contexto do cliente. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",invoicing,credit_notes,precisamos esta semana,,client_misunderstanding,medium,support_level_1,Ana Martins
SIS-2026-0010,TecnoRolo Iberia,industrial manufacturing,Training on invoice validation workflow,"Por envolver faturação, às vezes estes tickets soam mais urgentes do que realmente são. O utilizador admite que pode estar a seguir um passo desatualizado. Há alguma sensibilidade comercial, mas sem dramatização no pedido. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",invoicing,tax_validation,convém validar com alguma brevidade,training_needed / low / training_consulting,training_needed,medium,training_consulting,
SIS-2026-0011,EtiquetaFina,labels,Números do dashboard não batem com relatório,"Como estes números entram em reunião de gestão, convém não desvalorizar logo como simples uso incorreto. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",reporting,kpi_analysis,cliente à espera,client_misunderstanding / medium / support_level_1,data_issue,high,technical_support,
SIS-2026-0012,TecnoRolo Iberia,industrial manufacturing,Need training on warehouse movement process,"Há utilizadores novos no armazém e estão a abrir tickets diferentes para o mesmo processo de transferência. A descrição veio por telefone e foi resumida internamente. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",stock,warehouse_transfer,impacto moderado; sem bloqueio operacional,client_misunderstanding / medium / support_level_1,training_needed,medium,training_consulting,
SIS-2026-0013,PrintWorks Porto,printing,Feature request for complaint workflow,"A área de qualidade queria registar um código interno adicional para análise futura. Existe suspeita de configuração, embora nada conclusivo. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Não há bloqueio operacional imediato; o valor aqui é mais de conveniência ou prevenção.",CRM,complaints,sem bloqueio operacional,configuration_request / medium / technical_support,feature_request,low,account_management,
SIS-2026-0014,EuroPackaging PT,packaging,Documentos enviados aparecem pendentes,"Há registos técnicos por confirmar, por isso o ticket mistura dados, integração e possível bug. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",invoicing,e_invoice,impacto moderado,data_issue / medium / technical_support,data_issue,medium,technical_support,
SIS-2026-0015,TecnoRolo Iberia,industrial manufacturing,Nova regra para overhead de produção,"Não se trata de erro; o pedido é alinhar o sistema com prática interna que mudou no trimestre. Ainda não anexaram prints, mas podem enviar. No ticket interno alguém escreveu “talvez seja processo”, mas sem certeza. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",production,cost_calculation,afeta vários utilizadores,configuration_request / medium / technical_support,configuration_request,high,technical_support,
SIS-2026-0016,Braga Print House,printing,Question about customer card flow,"O pedido vem com pouca informação e pode ser simplesmente orientação funcional. Já reiniciaram sessão, browser e posto, sem conclusão clara. Se possível, manter com Rui Costa porque já conhece o contexto do cliente. Ainda estamos a confirmar se acontece em todas as empresas do grupo ou só nesta. Não há bloqueio operacional imediato; o valor aqui é mais de conveniência ou prevenção.",CRM,customer_cards,sem urgência; convém validar com alguma brevidade,software_bug / medium / technical_support,client_misunderstanding,low,support_level_1,Rui Costa
SIS-2026-0017,AlfaForms,forms and labels,Need help with credit note process,"Talvez valha confirmar se precisam de mini-guia em vez de intervenção técnica. No ticket interno alguém escreveu “talvez seja processo”, mas sem certeza. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",invoicing,credit_notes,impacto moderado,client_misunderstanding / low / support_level_1,client_misunderstanding,medium,support_level_1,Joao Pereira
SIS-2026-0018,FibraSul,paper converting,Urgent: Notificações de acesso não saem,"O cliente ainda não sabe dizer se afeta todos os domínios ou só alguns. O cliente pediu retorno curto mesmo que ainda não haja solução final. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",user_permissions,password_policy,parcialmente parado,infrastructure_problem / high / infrastructure,infrastructure_problem,high,infrastructure,
SIS-2026-0019,LusoPack Embalagens,packaging,Equipa nova no armazém precisa de acompanhamento,"Há utilizadores novos no armazém e estão a abrir tickets diferentes para o mesmo processo de transferência. Ainda não anexaram prints, mas podem enviar. Há quem diga que é só configuração; outros acham que começou depois da última atualização. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",stock,warehouse_transfer,convém validar com alguma brevidade,training_needed / low / training_consulting,training_needed,medium,training_consulting,
SIS-2026-0020,FibraSul,paper converting,Sugestão para melhorar registo em produção,"É o tipo de pedido que pode parecer bug para quem escreve o ticket, apesar de ser melhoria. Pode ser necessário validar em ambiente real e não só em teste. Há alguma sensibilidade comercial, mas sem dramatização no pedido. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",production,shop_floor,precisamos esta semana,,feature_request,medium,technical_support,Ana Martins
SIS-2026-0021,ValeFlex,printing,Adicionar etapa nova ao funil comercial,"Não há erro, apenas uma necessidade de processo mais fino. O cliente insiste que queria isto antes da próxima reunião de vendas. Podemos recolher base de dados de exemplo se for preciso, mas ainda não foi pedido. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",CRM,commercial_pipeline,cliente à espera,configuration_request / medium / technical_support,configuration_request,high,technical_support,Miguel Santos
SIS-2026-0022,TextilMinho,textile,Bug no registo de reclamações,"A equipa de qualidade abre a ficha mas ao anexar observações o ecrã fecha sem guardar. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",CRM,complaints,convém validar com alguma brevidade,data_issue / high / technical_support,software_bug,medium,technical_support,Carla Sousa
SIS-2026-0023,Braga Print House,printing,URGENTE - Mensagem 500 no fecho de fatura,"Desde o início da manhã a equipa comercial consegue preparar a venda mas o documento falha no momento de emitir. Não temos mudança de processo do lado do cliente. O utilizador admite que pode estar a seguir um passo desatualizado. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",invoicing,invoice_emission,impacto moderado,configuration_request / medium / technical_support,software_bug,medium,technical_support,Marta Silva
SIS-2026-0024,LusoPack Embalagens,packaging,Dados de chão de fábrica não batem,"A chefia diz que consegue continuar a produzir, só que a visibilidade de produção ficou pouco fiável. Ainda não anexaram prints, mas podem enviar. Podemos recolher base de dados de exemplo se for preciso, mas ainda não foi pedido. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",production,shop_floor,convém validar com alguma brevidade,client_misunderstanding / medium / support_level_1,data_issue,medium,support_level_1,
SIS-2026-0025,TecnoRolo Iberia,industrial manufacturing,Sessão de esclarecimento sobre transferências internas,"Mesmo assim o texto do pedido mistura “erro” e “não sabemos fazer”, o que o torna menos limpo do que um exemplo de manual. A equipa insiste que o problema é novo, mas não quantifica bem quando começou. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. Não há bloqueio operacional imediato; o valor aqui é mais de conveniência ou prevenção.",stock,warehouse_transfer,quando possível,configuration_request / medium / technical_support,training_needed,low,training_consulting,
SIS-2026-0026,FibraSul,paper converting,Mapeamento EDI precisa de novo campo,"O fluxo atual funciona para os restantes clientes, por isso parece claramente tema de parametrização e não bug geral. Há alguma sensibilidade comercial, mas sem dramatização no pedido. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",integrations,edi,afeta uma equipa; parcialmente parado,,configuration_request,medium,technical_support,
SIS-2026-0027,PrintWorks Porto,printing,System is slow across multiple screens,"O sistema abre, mas quase todos os ecrãs demoram demasiado tempo e alguns acabam por falhar. O cliente diz que ontem funcionava. Se possível, manter com Pedro Neves porque já conhece o contexto do cliente. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",general,performance,afeta vários utilizadores,software_bug / high / development,infrastructure_problem,high,infrastructure,Pedro Neves
SIS-2026-0028,TecnoRolo Iberia,industrial manufacturing,Need clarification on scheduling board,Pode haver mistura de configuração com utilização normal. O texto do cliente não é conclusivo. O texto original mistura português com inglês e foi limpo apenas o mínimo para ficar legível. Não há bloqueio operacional imediato; o valor aqui é mais de conveniência ou prevenção.,production,scheduling,quando possível,training_needed / medium / training_consulting,client_misunderstanding,low,support_level_1,
SIS-2026-0029,EuroPackaging PT,packaging,Question about dashboard totals,"Ainda assim, a descrição não é cristalina e vale validar antes de assumir erro do cliente. Pode ser necessário validar em ambiente real e não só em teste. Ainda estamos a confirmar se acontece em todas as empresas do grupo ou só nesta. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",reporting,dashboards,precisamos esta semana,training_needed / medium / training_consulting,client_misunderstanding,medium,support_level_1,Marta Silva
SIS-2026-0030,PrintWorks Porto,printing,Nova regra para overhead de produção,"Pode tocar financeiramente o negócio, portanto convém tratar com cuidado mesmo sem ser crítico. O cliente pediu retorno curto mesmo que ainda não haja solução final. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",production,cost_calculation,cliente à espera,,configuration_request,high,technical_support,
SIS-2026-0031,TextilMinho,textile,Inventário mostra diferença mas não sabemos porquê,"Pelo relato, a lógica do ecrã pode estar correta e a dificuldade é perceber o significado dos estados. O pedido entrou com pouco contexto e alguma pressa. O cliente pediu retorno curto mesmo que ainda não haja solução final. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",stock,inventory_counts,precisamos esta semana,software_bug / medium / technical_support,client_misunderstanding,medium,support_level_1,
